,0
cp,0.14220481226394016
thalach,0.11732254191225416
ca,0.11474637954089899
oldpeak,0.11241971123140254
thal,0.0960378544954901
age,0.0922053887402714
chol,0.07721338199244397
exang,0.07350386009712626
trestbps,0.067927670382568
slope,0.048528080911551794
sex,0.026771973669907398
restecg,0.020350788482320477
fbs,0.01076755627982464
